2022-02-09 14:38:30,125 | DEBUG | judger:192 | Send data to ai[id=0]: b'\x10\x00\x89\x06\x06\x00\x00\x02\x00\x03\x08\x08\x00\x00\x04\x00\x03\t\t\x00\x00\x05\x00\x05\x07\x08\x00\x00\n\x00\x01\x08\x07\x00\x00\x0b\x00\x04\x07\x07\x00\x00\r\x00\x02\t\x07\x00\x00\x10\x00\x04\x07\t\x00\x00\x12\x00\x02\x06\x07\x00\x00\x13\x00\x01\x07\n\x00\x00\x16\x00\x03\n\x06\x00\x00\x1a\x00\x01\x06\n\x00\x00\x1f\x00\x04\x05\t\x02\x00#\x02\x00\x06\x06\x02\x00(\x02\x00\x07\x07\x02\x00)\x02\x00\x07\x06\x00\x00/\x00\x03\x05\x08\x00\x000\x00\x03\x06\x0b\x00\x001\x00\x04\x08\x07\x00\x005\x00\x03\x07\t\x00\x007\x00\x03\x0b\x05\x00\x00=\x00\x03\x0c\x06\x00\x00>\x00\x05\x0c\x05\x00\x00G\x00\x05\x0b\x07\x00\x00I\x00\x01\x03\x06\x02\x00K\x02\x00\x0c\x03\x00\x00O\x00\x01\x08\t\x00\x00T\x00\x04\n\t\x02\x00c\x02\x00\x0e\x0e\x02\x00e\x02\x00\x08\x05\x02\x00i\x02\x00\x06\x07\x00\x00l\x00\x02\x05\r\x02\x00m\x02\x00\x04\n\x02\x00x\x02\x00\r\x02\x02\x00z\x02\x00\x03\x00\x00\x00{\x00\x02\x01\x07\x00\x00|\x00\x02\x08\x03\x00\x00\x7f\x00\x05\t\x0f\x00\x00\x85\x00\x03\x07\x0c\x00\x00\x87\x00\x03\x05\x02\x00\x00\x88\x00\x03\x00\x0b\x02\x00\x8a\x02\x00\x0e\x05\x02\x00\x8c\x02\x00\x03\x08\x00\x00\x8f\x00\x04\x04\x05\x00\x00\x98\x00\x03\x0f\x07\x00\x00\x9a\x00\x01\x00\x05\x02\x00\x9c\x02\x00\x00\x0c\x00\x00\xa0\x00\x05\x04\x02\x00\x00\xa1\x00\x05\x07\x03\x02\x00\xa2\x02\x00\x08\x00\x00\x00\xac\x00\x03\x02\x04\x00\x00\xb6\x00\x05\x00\x0c\x00\x00\xb7\x00\x03\r\r\x02\x00\xb8\x02\x00\x03\r\x02\x00\xba\x02\x00\x04\x0b\x00\x00\xbb\x00\x02\x0b\x0b\x00\x00\xbe\x00\x02\x0e\x04\x02\x00\xc3\x02\x00\x05\x01\x00\x00\xc5\x00\x04\t\x06\x02\x00\xc6\x02\x00\x0c\x01\x02\x00\xca\x02\x00\x02\x01\x00\x00\xcb\x00\x05\x0b\x04\x00\x00\xcc\x00\x01\x0b\x00\x00\x00\xd1\x00\x05\t\x07\x02\x00\xd2\x02\x00\t\x04\x00\x00\xd5\x00\x05\x08\x0e\x02\x00\xd8\x02\x00\x04\x0f\x00\x00\xdd\x00\x05\x05\x05\x00\x00\xde\x00\x04\x06\x03\x00\x00\xdf\x00\x03\x03\x0f\x02\x00\xe1\x02\x00\x03\n\x02\x00\xe2\x02\x00\x0f\x08\x02\x00\xe4\x02\x00\x0f\x06\x00\x00\xeb\x00\x02\n\x01\x00\x00\xf9\x00\x04\x0f\x0f\x02\x00\xfb\x02\x00\x03\x03\x00\x00\xfc\x00\x03\x02\n\x00\x01\x04\x00\x05\x01\x0c\x00\x01\x07\x00\x03\r\x05\x00\x01\x08\x00\x02\x01\x03\x00\x01\t\x00\x01\x04\x08\x00\x01\x0f\x00\x04\x06\x07\x00\x01\x12\x00\x05\n\x00\x00\x01\x17\x00\x02\x0b\x0e\x02\x01\x18\x02\x00\x04\r\x00\x01\x1b\x00\x01\x04\x03\x02\x01\x1c\x02\x00\x05\x05\x00\x01\x1d\x00\x02\r\x03\x02\x01\x1e\x02\x00\n\x05\x00\x01"\x00\x03\x06\x05\x00\x01%\x00\x02\x00\x07\x00\x01+\x00\x03\x01\r\x00\x015\x00\x01\x06\x02\x00\x01:\x00\x04\x04\t\x00\x01>\x00\x01\t\r\x00\x01F\x00\x01\x02\t\x02\x01J\x02\x00\x03\r\x00\x01M\x00\x02\x0f\x0c\x02\x01S\x02\x00\x00\x07\x00\x01V\x00\x05\x0c\t\x00\x01W\x00\x05\x01\x00\x00\x01_\x00\x01\x05\x0e\x00\x01h\x00\x04\x0e\n\x00\x01i\x00\x04\x07\x06\x02\x01z\x02\x00\x05\x02\x00\x01\x7f\x00\x04\x01\r\x00\x01\x81\x00\x01\x0f\x0f\x00\x01\x82\x00\x02\x06\x01\x02\x01\x84\x02\x00\n\x07\x00\x01\x88\x00\x04\x08\x04\x02\x01\x8d\x02\x00\x08\x02\x02\x01\x91\x02\x00\r\x0f\x00\x01\x94\x00\x05\x04\x04\x00\x01\x95\x00\x02\x07\x0e\x00\x01\x9b\x00\x01\x06\x08\x00\x01\x9d\x00\x02\x0b\x0b\x02\x01\xa2\x02\x00\x0c\x02\x02\x01\xab\x02\x00\x03\x08\x00\x01\xaf\x00\x04\x0f\x04\x02\x01\xb4\x02\x00\n\t\x02\x01\xba\x02\x00\x08\x03\x00\x01\xbd\x00\x05\x00\x08\x00\x01\xc1\x00\x02\x0f\n\x00\x01\xc6\x00\x05\x07\x00\x02\x01\xc8\x02\x00\x06\x0b\x00\x01\xd0\x00\x04\x03\x07\x02\x01\xd1\x02\x00\x08\x08\x02\x01\xd3\x02\x00\x07\x0f\x00\x01\xd4\x00\x01\t\r\x00\x01\xd5\x00\x03\x0b\x00\x02\x01\xdc\x02\x00\x04\r\x02\x01\xe3\x02\x00\x03\x07\x00\x01\xe6\x00\x01\x05\x0b\x02\x01\xe8\x02\x00\x0e\x0b\x02\x01\xec\x02\x00\x08\r\x00\x01\xf1\x00\x05\x02\x04\x02\x01\xf2\x02\x00\x06\x0e\x00\x01\xf5\x00\x01'
2022-02-09 14:38:30,125 | DEBUG | judger:192 | Send data to ai[id=1]: b'\x10\x00\x89\x06\x06\x00\x00\x02\x00\x03\x08\x08\x00\x00\x04\x00\x03\t\t\x00\x00\x05\x00\x05\x07\x08\x00\x00\n\x00\x01\x08\x07\x00\x00\x0b\x00\x04\x07\x07\x00\x00\r\x00\x02\t\x07\x00\x00\x10\x00\x04\x07\t\x00\x00\x12\x00\x02\x06\x07\x00\x00\x13\x00\x01\x07\n\x00\x00\x16\x00\x03\n\x06\x00\x00\x1a\x00\x01\x06\n\x00\x00\x1f\x00\x04\x05\t\x02\x00#\x02\x00\x06\x06\x02\x00(\x02\x00\x07\x07\x02\x00)\x02\x00\x07\x06\x00\x00/\x00\x03\x05\x08\x00\x000\x00\x03\x06\x0b\x00\x001\x00\x04\x08\x07\x00\x005\x00\x03\x07\t\x00\x007\x00\x03\x0b\x05\x00\x00=\x00\x03\x0c\x06\x00\x00>\x00\x05\x0c\x05\x00\x00G\x00\x05\x0b\x07\x00\x00I\x00\x01\x03\x06\x02\x00K\x02\x00\x0c\x03\x00\x00O\x00\x01\x08\t\x00\x00T\x00\x04\n\t\x02\x00c\x02\x00\x0e\x0e\x02\x00e\x02\x00\x08\x05\x02\x00i\x02\x00\x06\x07\x00\x00l\x00\x02\x05\r\x02\x00m\x02\x00\x04\n\x02\x00x\x02\x00\r\x02\x02\x00z\x02\x00\x03\x00\x00\x00{\x00\x02\x01\x07\x00\x00|\x00\x02\x08\x03\x00\x00\x7f\x00\x05\t\x0f\x00\x00\x85\x00\x03\x07\x0c\x00\x00\x87\x00\x03\x05\x02\x00\x00\x88\x00\x03\x00\x0b\x02\x00\x8a\x02\x00\x0e\x05\x02\x00\x8c\x02\x00\x03\x08\x00\x00\x8f\x00\x04\x04\x05\x00\x00\x98\x00\x03\x0f\x07\x00\x00\x9a\x00\x01\x00\x05\x02\x00\x9c\x02\x00\x00\x0c\x00\x00\xa0\x00\x05\x04\x02\x00\x00\xa1\x00\x05\x07\x03\x02\x00\xa2\x02\x00\x08\x00\x00\x00\xac\x00\x03\x02\x04\x00\x00\xb6\x00\x05\x00\x0c\x00\x00\xb7\x00\x03\r\r\x02\x00\xb8\x02\x00\x03\r\x02\x00\xba\x02\x00\x04\x0b\x00\x00\xbb\x00\x02\x0b\x0b\x00\x00\xbe\x00\x02\x0e\x04\x02\x00\xc3\x02\x00\x05\x01\x00\x00\xc5\x00\x04\t\x06\x02\x00\xc6\x02\x00\x0c\x01\x02\x00\xca\x02\x00\x02\x01\x00\x00\xcb\x00\x05\x0b\x04\x00\x00\xcc\x00\x01\x0b\x00\x00\x00\xd1\x00\x05\t\x07\x02\x00\xd2\x02\x00\t\x04\x00\x00\xd5\x00\x05\x08\x0e\x02\x00\xd8\x02\x00\x04\x0f\x00\x00\xdd\x00\x05\x05\x05\x00\x00\xde\x00\x04\x06\x03\x00\x00\xdf\x00\x03\x03\x0f\x02\x00\xe1\x02\x00\x03\n\x02\x00\xe2\x02\x00\x0f\x08\x02\x00\xe4\x02\x00\x0f\x06\x00\x00\xeb\x00\x02\n\x01\x00\x00\xf9\x00\x04\x0f\x0f\x02\x00\xfb\x02\x00\x03\x03\x00\x00\xfc\x00\x03\x02\n\x00\x01\x04\x00\x05\x01\x0c\x00\x01\x07\x00\x03\r\x05\x00\x01\x08\x00\x02\x01\x03\x00\x01\t\x00\x01\x04\x08\x00\x01\x0f\x00\x04\x06\x07\x00\x01\x12\x00\x05\n\x00\x00\x01\x17\x00\x02\x0b\x0e\x02\x01\x18\x02\x00\x04\r\x00\x01\x1b\x00\x01\x04\x03\x02\x01\x1c\x02\x00\x05\x05\x00\x01\x1d\x00\x02\r\x03\x02\x01\x1e\x02\x00\n\x05\x00\x01"\x00\x03\x06\x05\x00\x01%\x00\x02\x00\x07\x00\x01+\x00\x03\x01\r\x00\x015\x00\x01\x06\x02\x00\x01:\x00\x04\x04\t\x00\x01>\x00\x01\t\r\x00\x01F\x00\x01\x02\t\x02\x01J\x02\x00\x03\r\x00\x01M\x00\x02\x0f\x0c\x02\x01S\x02\x00\x00\x07\x00\x01V\x00\x05\x0c\t\x00\x01W\x00\x05\x01\x00\x00\x01_\x00\x01\x05\x0e\x00\x01h\x00\x04\x0e\n\x00\x01i\x00\x04\x07\x06\x02\x01z\x02\x00\x05\x02\x00\x01\x7f\x00\x04\x01\r\x00\x01\x81\x00\x01\x0f\x0f\x00\x01\x82\x00\x02\x06\x01\x02\x01\x84\x02\x00\n\x07\x00\x01\x88\x00\x04\x08\x04\x02\x01\x8d\x02\x00\x08\x02\x02\x01\x91\x02\x00\r\x0f\x00\x01\x94\x00\x05\x04\x04\x00\x01\x95\x00\x02\x07\x0e\x00\x01\x9b\x00\x01\x06\x08\x00\x01\x9d\x00\x02\x0b\x0b\x02\x01\xa2\x02\x00\x0c\x02\x02\x01\xab\x02\x00\x03\x08\x00\x01\xaf\x00\x04\x0f\x04\x02\x01\xb4\x02\x00\n\t\x02\x01\xba\x02\x00\x08\x03\x00\x01\xbd\x00\x05\x00\x08\x00\x01\xc1\x00\x02\x0f\n\x00\x01\xc6\x00\x05\x07\x00\x02\x01\xc8\x02\x00\x06\x0b\x00\x01\xd0\x00\x04\x03\x07\x02\x01\xd1\x02\x00\x08\x08\x02\x01\xd3\x02\x00\x07\x0f\x00\x01\xd4\x00\x01\t\r\x00\x01\xd5\x00\x03\x0b\x00\x02\x01\xdc\x02\x00\x04\r\x02\x01\xe3\x02\x00\x03\x07\x00\x01\xe6\x00\x01\x05\x0b\x02\x01\xe8\x02\x00\x0e\x0b\x02\x01\xec\x02\x00\x08\r\x00\x01\xf1\x00\x05\x02\x04\x02\x01\xf2\x02\x00\x06\x0e\x00\x01\xf5\x00\x01'
2022-02-09 14:38:30,126 | DEBUG | judger:175 | Received 1 bytes of data from ai[id=0]: b'\x04'
2022-02-09 14:38:30,126 | INFO | judger:179 | Received data from listened ai. Forwarding to logic.
2022-02-09 14:38:30,126 | DEBUG | judger:116 | Send data to logic: b'\x00\x00\x00/{"player": 0, "content": "\\u0004", "time": 0.0}'
2022-02-09 14:38:30,126 | DEBUG | judger:119 | Send complete
2022-02-09 14:38:30,126 | DEBUG | judger:87 | Logic is sending 1 bytes of data to target 0: b'\x04'
2022-02-09 14:38:30,126 | DEBUG | judger:87 | Logic is sending 1 bytes of data to target 1: b'\x04'
2022-02-09 14:38:30,126 | DEBUG | judger:87 | Logic is sending 40 bytes of data to target -1: b'{"state": 0, "time": 3, "length": 2048}\n'
2022-02-09 14:38:30,126 | DEBUG | judger:87 | Logic is sending 57 bytes of data to target -1: b'{"state": 2, "listen": [1], "player": [], "content": []}\n'
